Ecoregion,# species,Initial cost ($/ha),SAR alpha,Initial forest (kha),Initial prot. forest (kha),Deforest. rate (%),Conservation end period,Overall end period,Total spend (M$),Expected new spp. conserved
Klamath Mountains,1109,2251.58,9.17,2592,357.6,1.6,50,50,0,0
Mid-Atlantic Coastal Plain,1626,24760.63,12.62,3556.2,392.3,2.71,37,50,0,0
Sierra Nevada,1224,3903.4,10.78,1884.4,425.1,1.3,50,50,0,0
Montane Cordillera,951,251.8,5.75,12428.2,1229.3,1.54,50,50,0,0
North Cascades,1012,623.05,7.8,3684.2,824.1,0.42,50,50,0,0
Pacific Northwest Coast,1043,2047.86,7.62,4792.5,713.9,1.48,50,50,0,0
Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,1488,90820.27,14.08,1320,97.7,1.08,50,50,0,0
S.E. Alaska - B.C. Coastal Forest And Mountains,1695,312.03,11.01,8638.8,2523,0.12,50,50,0,0
South Atlantic Coastal Plain,615,24177.78,4.83,3338.5,272.6,4.04,25,50,0,0
Southern Rocky Mountains,876,1088.81,6.56,4234.3,721.9,0.59,50,50,0,0
Upper West Gulf Coastal Plain,1355,16438.73,10.18,4168.7,149.1,3.19,32,50,0,0
Utah-Wyoming Rocky Mountains,1100,409.14,8.77,3098.5,998.3,0.8,50,50,0,0
West Gulf Coastal Plain,1200,9104.29,10.62,1841.1,210.8,4.53,23,50,0,0
Boreal Plains,738,290.4,3.66,33106.5,3503.5,0.8,50,50,0,0
Boreal Shield,407,402.06,1.64,93337.1,8499.3,0.75,50,50,0,0
Taiga Plains,613,21.77,3.3,22021.3,1766.8,0.49,50,50,0,0
Cook Inlet Basin,473,5356.49,4.23,1742.6,494,0.2,50,50,0,0
Alaska Range,720,51.46,5.82,2907.6,1016.4,0.1,50,50,0,0
California Central Coast,1650,49776.6,17.75,693.5,145.6,1.61,50,50,0,0
California South Coast,2105,46308.97,26.51,315.9,67.1,3.73,27,50,0,0
Araucaria Moist Forests,4500,2470.45,29.24,8636.5,671.3,1.05,50,50,0,0
Atlantic Coast Restingas,1500,8724.35,23.94,96.7,39.9,2.03,50,50,0,0
Bahia Coastal Forests,5000,2607.25,37.7,4101.8,731.4,1.58,50,50,0,0
Bahia Interior Forests,6000,3195.96,41.14,6602.2,395.9,0.93,50,50,0,0
Caatinga Enclaves Moist Forests,1500,6125.54,22.46,132.8,55.8,0.72,50,50,0,0
Catatumbo Moist Forests,1900,2750.02,18.97,1006.6,359.5,1.97,50,50,0,0
Cauca Valley Montane Forests,4500,6841.82,39.56,1904,283.4,0.5,50,50,0,0
Central American Atlantic Moist Forests,4100,1038.96,29.51,5181.2,2868.2,3.24,31,50,0,0
Central American Montane Forests,3500,3714.61,35.82,890.8,471.6,0.96,50,50,0,0
Cordillera La Costa Montane Forests,3700,6762.89,37.42,945.6,556.4,0.51,50,50,0,0
Costa Rican Seasonal Moist Forests,3300,21902.42,37.28,543.5,77,0.41,50,50,0,0
Eastern Cordillera Real Montane Forests,6500,954.21,43.88,7135.7,1675.5,0.19,50,50,0,0
Eastern Panamanian Montane Forests,3300,262.92,42.51,282,205,0.47,50,50,0,0
Gurupa Varze,2500,302.28,30.89,347.1,188.7,1.77,50,50,0,0
Hispaniolan Moist Forests,3800,10544.24,34.7,1575.1,290.8,0.89,50,50,0,0
Iquitos Varze,3200,301.06,20.32,9681.3,2436.1,0.54,50,50,0,0
Isthmian-Atlantic Moist Forests,8000,5977.36,62.15,3534,1502.3,1.62,50,50,0,0
Isthmian-Pacific Moist Forests,6500,4062.4,60.33,1451.9,250.1,0.66,50,50,0,0
Leeward Islands Moist Forests,1500,16590.64,26.26,60.8,53.1,1.05,50,50,0,0
Madeira-Tapajs Moist Forests,6000,97.59,26.96,54607.2,30451.9,1.64,50,50,0,0
Magdalena Valley Montane Forests,5500,6855.73,38.02,6332.5,1069.1,0.54,50,50,0,0
Maraj Varze,3500,465.93,25.1,5272.9,3654.3,0.79,50,50,0,0
Mato Grosso Seasonal Forests,4000,169.76,21.44,22626.9,8449.9,2.28,44,50,0,0
Monte Alegre Varze,4500,385.03,32.95,4749.6,1309.5,0.47,50,50,0,0
Napo Moist Forests,7000,282.17,37.38,23038.4,4907.3,0.24,50,50,0,0
Northeastern Brazil Restingas,1000,877.7,13.71,206.1,26.6,1.48,50,50,0,0
Northwestern Andean Montane Forests,6500,1859.48,46.01,5629.8,969.8,0.21,50,50,0,0
Orinoco Delta Swamp Forests,1700,101.48,14.45,2252.7,1217,0.07,50,50,0,0
Pantanos De Centla,1900,27968.25,23.7,331.3,75.7,0.74,50,50,0,0
Guianan Freshwater Swamp Forests,700,1716.12,7.9,546.6,64.1,0.19,50,50,0,0
Alto Paran Atlantic Forests,6500,4135.42,40.93,10104.6,1422.6,1.12,50,50,0,0
Pernambuco Interior Forests,2500,7917.74,29.83,413.6,23.3,1.09,50,50,0,0
Peruvian Yungas,6500,500.48,42.71,8161.5,2352.3,0.31,50,50,0,0
Petn-Veracruz Moist Forests,6500,2621.8,43.27,7648.6,2931.2,2.12,48,50,0,0
Puerto Rican Moist Forests,1800,90156.04,22.11,357.8,19.4,1.05,50,50,0,0
Purus Varze,5000,123.85,28.67,16122.4,7206.9,0.23,50,50,0,0
Rio Negro Campinarana,3000,17.93,19.73,8118,5205.6,0.22,50,50,0,0
Serra Do Mar Coastal Forests,9000,24137.77,63.57,5689.6,2544.6,0.75,50,50,0,0
Southwest Amazon Moist Forests,8500,99.83,36.57,67837.6,27080.5,0.37,50,50,0,0
Tapajs-Xingu Moist Forests,5000,74.63,25.57,28605.5,22647.2,3.03,34,50,0,0
Pantepui,2900,34.43,21.3,4680.7,3419.7,0.09,50,50,0,0
Tocantins/Pindare Moist Forests,4500,1324.65,28.6,9635.9,2078.7,3.03,33,50,0,0
Trinidad And Tobago Moist Forests,2100,19128.25,26.37,320.3,124.8,0.54,50,50,0,0
Uatuma-Trombetas Moist Forests,6500,87.67,30.68,42685.6,30757.1,0.65,50,50,0,0
Ucayali Moist Forests,4050,319.47,25.79,9555.4,2303.2,0.94,50,50,0,0
Venezuelan Andes Montane Forests,4500,3938.33,40.22,1753.1,876.5,0.47,50,50,0,0
Veracruz Montane Forests,2700,9829.28,33.8,325,18.7,0.28,50,50,0,0
Windward Islands Moist Forests,1600,11528.06,24.04,130.6,73.1,2.15,47,50,0,0
Xingu-Tocantins-Araguaia Moist Forests,5000,221.4,28.54,16503.2,7983.3,2.92,35,50,0,0
Yucatn Moist Forests,1600,3202.28,11.52,5174.6,1435.1,1.18,50,50,0,0
Apure-Villavicencio Dry Forests,1800,1595.17,15.91,1855.7,307.8,1.15,50,50,0,0
Atlantic Dry Forests,2000,190.04,15.77,3276.1,432.3,0.89,50,50,0,0
Bolivian Montane Dry Forests,900,377.15,8.78,1129.4,446.8,0.24,50,50,0,0
Cauca Valley Dry Forests,1000,16085.52,13.49,223.7,5.2,0.31,50,50,0,0
Central American Dry Forests,3300,4557.03,29.5,1751.4,249.2,0.75,50,50,0,0
Dry Chaco,990,176.91,5.36,21456.9,5242.6,1.74,50,50,0,0
Chiapas Depression Dry Forests,2100,3007.24,27.33,268.1,12.5,0.48,50,50,0,0
Chiquitano Dry Forests,1200,132.95,7.18,13007.2,3874.9,1.39,50,50,0,0
Cuban Dry Forests,2500,6357.88,23.69,1308,246.8,0.53,50,50,0,0
Ecuadorian Dry Forests,1250,2130.97,12.88,861.4,28.8,0.45,50,50,0,0
Hispaniolan Dry Forests,1500,8231.66,18.75,327.7,118,1.08,50,50,0,0
Jalisco Dry Forests,1500,2352.42,14.86,1048.6,146.2,0.2,50,50,0,0
Jamaican Dry Forests,1100,17397.84,17.73,92,20.1,0.76,50,50,0,0
Lara-Falcn Dry Forests,900,2262.12,9.72,680.9,122.5,0.87,50,50,0,0
Lesser Antillean Dry Forests,200,41693.91,3.75,43.1,12.8,0.29,50,50,0,0
Magdalena Valley Dry Forests,1300,4572.51,14.18,648.5,9.2,0.46,50,50,0,0
Maracaibo Dry Forests,1500,2606.4,16.73,579.4,150.5,1.42,50,50,0,0
Maran Dry Forests,1400,960.24,17.02,376.5,46.3,0.3,50,50,0,0
Panamanian Dry Forests,1900,14374.71,30.82,89,5.8,0.44,50,50,0,0
Puerto Rican Dry Forests,900,55188.45,17.56,35.3,9.8,0.45,50,50,0,0
Sierra De La Laguna Dry Forests,550,489.33,14.27,8.5,5,0.35,50,50,0,0
Sinaloan Dry Forests,2100,852.22,17.7,2347.9,247.1,0.1,50,50,0,0
Sin Valley Dry Forests,1100,1288.22,11.95,659.9,49.5,1.05,50,50,0,0
Southern Pacific Dry Forests,4000,2405.92,38.55,1203.1,73.5,0.53,50,50,0,0
Tumbes-Piura Dry Forests,800,2249.46,9.77,367.5,68,0.24,50,50,0,0
Veracruz Dry Forests,1100,8771.59,17.94,86.8,2.3,0.46,50,50,0,0
Yucatn Dry Forests,1150,4457.74,9.35,2807.5,318.9,1.14,50,50,0,0
Bahamian Pine Mosaic,750,4269.27,10.93,152.2,15,0.55,50,50,0,0
Belizian Pine Forests,1500,469.16,21.83,153.1,58.7,1,50,50,0,0
Central American Pine-Oak Forests,4900,6634.67,35.46,5036.7,857.8,0.77,50,50,0,0
Cuban Pine Forests,1500,3921.76,19.7,256.1,38.3,0.94,50,50,0,0
Sierra Madre De Oaxaca Pine-Oak Forests,3100,2188.5,32.78,756.7,44.5,0.26,50,50,0,0
Trans-Mexican Volcanic Belt Pine-Oak Forests,4900,6587.24,39.87,2804.3,566.3,0.16,50,50,0,0
Magellanic Subpolar Forests,450,250.99,3.48,3640.6,1411,0.08,50,50,0,0
Valdivian Temperate Forests,800,693.93,4.93,11261.4,4569.4,1.15,50,50,0,0
Hawaiian High Islands: Hawaii Tropical Moist Forests,935,17072.61,10.88,468,66.6,0.16,50,50,0,0
Palau Tropical Moist Forests,175,3319.73,3.54,29.7,7.3,0.13,50,50,0,0
Fiji Tropical Dry Forests,500,2324.02,6.09,373.6,11.9,0.35,50,50,0,0
Guizhou Plateau Broadleaf And Mixed Forests,3500,8568.83,22.47,9170.6,56.1,0.14,50,50,0,0
Appenine Deciduous Montane Forests,2500,5034.84,26.27,781.1,374.8,0.18,50,50,0,0
Atlantic Mixed Forests,1900,70244.85,13.3,5954.1,2084.9,0.82,50,50,0,0
Balkan Mixed Forests,3500,4133.21,25.02,5352.4,1403.6,0.21,50,50,0,0
Baltic Mixed Forests,1700,20700.93,14.26,2410.6,1220.3,1.29,50,50,0,0
Cantabrian Mixed Forests,2000,21912.36,16.43,2670,792,1.94,50,50,0,0
Caucasus Mixed Forests,5000,1811.48,35.55,5501.6,1086.7,0.03,50,50,0,0
Celtic Broadleaf Forests,1600,52726.37,14.07,1902.1,464.6,1.28,50,50,0,0
Central European Mixed Forests,2300,11331.54,13.1,16696.5,4820,0.82,50,50,0,0
Central Korean Deciduous Forests,2000,31298.44,16.2,2868.9,589.3,0.33,50,50,0,0
Changjiang Plain Evergreen Forests,3000,12359.62,20.47,6755.4,64.4,0.38,50,50,0,0
Crimean Submediterranean Forest Complex,2600,2274.32,23.96,1505,152.6,0.03,50,50,0,0
Daba Mountains Evergreen Forests,4500,10679.16,31.08,6360.9,93.7,0.04,50,50,0,0
Dinaric Mountains Mixed Forests,3700,2217.76,29.9,2903.3,690.8,0.12,50,50,0,0
East European Forest Steppe,1900,3878.19,11.42,12749,1130.1,0.23,50,50,0,0
English Lowlands Beech Forests,1300,215890.95,15.57,406.4,212.9,0.3,50,50,0,0
Euxine-Colchic Broadleaf Forests,3200,7586.96,25.36,3198.6,48.6,0.14,50,50,0,0
Hokkaido Deciduous Forests,1200,8754.09,11.34,1326.4,97.5,0.26,50,50,0,0
Huang He Plain Mixed Forests,2800,23444.08,28.8,868.9,6.8,0.05,50,50,0,0
Madeira Evergreen Forests,760,42485.95,18.75,10.9,6.5,0.66,50,50,0,0
Manchurian Mixed Forests,2200,1090.26,12.41,17489.1,817,0.23,50,50,0,0
Nihonkai Evergreen Forests,1700,17142.59,16.29,1236.9,237.4,0.1,50,50,0,0
Nihonkai Montane Deciduous Forests,2500,5633.1,17.62,5758,1594.7,0.16,50,50,0,0
North Atlantic Moist Mixed Forests,600,7983.15,8.31,196.2,47.3,1.67,50,50,0,0
Pannonian Mixed Forests,2700,9868.59,17.92,7756,2886.6,0.44,50,50,0,0
Po Basin Mixed Forests,1200,74146.12,17.34,158.9,41.7,0.22,50,50,0,0
Pyrenees Conifer And Mixed Forests,3300,3995.09,31.99,1167.6,670.1,0.17,50,50,0,0
Qin Ling Mountains Deciduous Forests,3400,3365.99,25.04,4612.1,129.9,0.03,50,50,0,0
Rodope Montane Mixed Forests,3000,2476.69,26.77,1767.3,1097.5,0.31,50,50,0,0
Sarmatic Mixed Forests,1800,8592.44,8.82,35401.4,3746.7,0.72,50,50,0,0
Sichuan Basin Evergreen Broadleaf Forests,3000,52244.03,28.5,1292.7,14.5,0.1,50,50,0,0
Southern Korea Evergreen Forests,2300,72306.77,26.94,453.9,90.4,0.25,50,50,0,0
Taiheiyo Evergreen Forests,3000,42546.56,20.29,7064.3,1318.6,0.22,50,50,0,0
Taiheiyo Montane Deciduous Forests,2700,10985.91,21.84,2888.7,809.5,0.21,50,50,0,0
Ussuri Broadleaf And Mixed Forests,1800,284.83,10.79,12899.3,1686.1,0.17,50,50,0,0
Western Siberian Hemiboreal Forests,1200,2347.14,7.84,8427.4,713.4,0.19,50,50,0,0
Western European Broadleaf Forests,2900,36526.96,16.8,15305.8,6909.6,0.66,50,50,0,0
Alps Conifer And Mixed Forests,5000,19056.36,34.73,6187.5,1781.2,0.31,50,50,0,0
Caledon Conifer Forests,500,4361.35,6.37,297.2,118.7,1.59,50,50,0,0
Carpathian Montane Forests,2700,3857.51,18.81,6093.1,2774.8,0.86,50,50,0,0
Da Hinggan-Dzhagdy Mountains Conifer Forests,800,123.91,5,10481.6,336,0.6,50,50,0,0
Elburz Range Forest Steppe,700,619.72,10.3,144.9,32.3,0.01,50,50,0,0
Hengduan Mountains Subalpine Conifer Forests,3000,1847.75,24.94,2519.6,227.6,0.1,50,50,0,0
Hokkaido Montane Conifer Forests,1400,932.41,11.18,3073.5,667.4,0.15,50,50,0,0
Honshu Alpine Conifer Forests,1300,2859.22,13.37,868.2,434.1,0.11,50,50,0,0
Qionglai-Minshan Conifer Forests,5000,5698.36,39.49,3255.7,329.8,0.1,50,50,0,0
Sayan Montane Conifer Forests,1200,146.08,6.86,16373.3,3028.2,0.25,50,50,0,0
Scandinavian Coastal Conifer Forests,600,28566.54,6.61,613.9,20.3,0.1,50,50,0,0
East Siberian Taiga,1400,79.4,5.14,150440.2,11753.6,0.82,50,50,0,0
Kamchatka-Kurile Meadows And Sparse Forests,700,287.46,4.89,6019,1031.3,0.05,50,50,0,0
Okhotsk-Manchurian Taiga,1100,68.07,5.93,21916.5,1922,0.56,50,50,0,0
Sakhalin Island Taiga,600,1097.66,4.58,3859.6,200.9,0.15,50,50,0,0
Scandinavian And Russian Taiga,1400,1646.82,5.51,105608.6,7091.4,0.6,50,50,0,0
Ural Montane Forests And Tundra,1600,465.68,9.7,12241.4,2583,0.22,50,50,0,0
West Siberian Taiga,900,1084.73,3.86,68630.1,7985.2,0.52,50,50,0,0
Aegean And Western Turkey Sclerophyllous And Mixed Forests,2500,7853.52,21.6,2076.6,555.8,0.66,50,50,0,0
Canary Islands Dry Woodlands And Forests,1130,24297.76,20.03,57.1,40.1,0.31,50,50,0,0
Eastern Mediterranean Conifer-Sclerophyllous-Broadleaf Forests,3200,29185.51,43.68,211,8.4,0.86,50,50,0,0
Iberian Sclerophyllous And Semi-Deciduous Forests,2500,6141.88,21.45,2153.1,1058.5,1.2,50,50,0,0
Illyrian Deciduous Forests,2800,8312.28,29.56,762.7,176.9,0.23,50,50,0,0
Italian Sclerophyllous And Semi-Deciduous Forests,3300,22424.78,27.38,2543.5,740.4,0.36,50,50,0,0
Mediterranean Dry Woodlands And Steppe,1200,104450.8,23.9,31.9,1.3,0.18,50,50,0,0
Mediterranean Woodlands And Forests,1500,8968.24,14.7,1105.8,206.4,0.8,50,50,0,0
Northeastern Spain And Southern France Mediterranean Forests,2800,14846.91,23.67,2316.3,1220.7,0.65,50,50,0,0
Northwest Iberian Montane Forests,1400,3261.06,13.51,1193.7,535.1,1.92,50,50,0,0
South Appenine Mixed Montane Forests,2100,5400.36,23.18,610.8,367.2,0.47,50,50,0,0
Southeastern Iberian Shrubs And Woodlands,400,19132.58,13.21,2.5,2.1,0.9,50,50,0,0
Southwest Iberian Mediterranean Sclerophyllous And Mixed Forests,2600,17247.34,28,690,292.1,5.32,19,50,0,0
Tyrrhenian-Adriatic Sclerophyllous And Mixed Forests,3300,16092.09,30.46,1492.4,530.1,0.45,50,50,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
